2022-12-20  0:17:02 0 [Note] InnoDB: Mutexes and rw_locks use Windows interlocked functions
2022-12-20  0:17:02 0 [Note] InnoDB: Uses event mutexes
2022-12-20  0:17:02 0 [Note] InnoDB: Compressed tables use zlib 1.2.11
2022-12-20  0:17:02 0 [Note] InnoDB: Number of pools: 1
2022-12-20  0:17:02 0 [Note] InnoDB: Using SSE2 crc32 instructions
2022-12-20  0:17:02 0 [Note] InnoDB: Initializing buffer pool, total size = 256M, instances = 1, chunk size = 128M
2022-12-20  0:17:02 0 [Note] InnoDB: Completed initialization of buffer pool
2022-12-20  0:17:03 0 [Note] InnoDB: Starting crash recovery from checkpoint LSN=300288
2022-12-20  0:17:03 0 [Note] InnoDB: Resizing redo log from 2*5242880 to 2*67108864 bytes; LSN=300306
2022-12-20  0:17:03 0 [Note] InnoDB: Starting to delete and rewrite log files.
2022-12-20  0:17:03 0 [Note] InnoDB: Setting log file C:\aula\server\mysql\data\ib_logfile101 size to 67108864 bytes
2022-12-20  0:17:03 0 [Note] InnoDB: Setting log file C:\aula\server\mysql\data\ib_logfile1 size to 67108864 bytes
2022-12-20  0:17:03 0 [Note] InnoDB: Renaming log file C:\aula\server\mysql\data\ib_logfile101 to C:\aula\server\mysql\data\ib_logfile0
2022-12-20  0:17:03 0 [Note] InnoDB: New log files created, LSN=300306
2022-12-20  0:17:03 0 [ERROR] InnoDB: Operating system error number 3 in a file operation.
2022-12-20  0:17:03 0 [ERROR] InnoDB: The error means the system cannot find the path specified.
2022-12-20  0:17:03 0 [ERROR] InnoDB: If you are installing InnoDB, remember that you must create directories yourself, InnoDB does not create them.
2022-12-20  0:17:03 0 [ERROR] InnoDB: Cannot open datafile for read-only: '.\phpmyadmin\pma__bookmark.ibd' OS error: 203
2022-12-20  0:17:03 0 [ERROR] InnoDB: Operating system error number 203 in a file operation.
2022-12-20  0:17:03 0 [Note] InnoDB: Some operating system error numbers are described at https://mariadb.com/kb/en/library/operating-system-error-codes/
2022-12-20  0:17:03 0 [ERROR] InnoDB: Could not find a valid tablespace file for ``phpmyadmin`.`pma__bookmark``. Please refer to https://mariadb.com/kb/en/innodb-data-dictionary-troubleshooting/ for how to resolve the issue.
2022-12-20  0:17:03 0 [Warning] InnoDB: Ignoring tablespace for `phpmyadmin`.`pma__bookmark` because it could not be opened.
2022-12-20  0:17:03 0 [ERROR] InnoDB: Operating system error number 3 in a file operation.
2022-12-20  0:17:03 0 [ERROR] InnoDB: The error means the system cannot find the path specified.
2022-12-20  0:17:03 0 [ERROR] InnoDB: If you are installing InnoDB, remember that you must create directories yourself, InnoDB does not create them.
2022-12-20  0:17:03 0 [ERROR] InnoDB: Cannot open datafile for read-only: '.\phpmyadmin\pma__central_columns.ibd' OS error: 203
2022-12-20  0:17:03 0 [ERROR] InnoDB: Operating system error number 203 in a file operation.
2022-12-20  0:17:03 0 [Note] InnoDB: Some operating system error numbers are described at https://mariadb.com/kb/en/library/operating-system-error-codes/
